treshold,UP_ratio,UP_pp_cnt,UP_pp_OK,UP_real_cnt,ST_ratio,ST_pp_cnt,ST_pp_OK,ST_real_cnt
5%,0.27599465850686294,2055605,567336,567336,0.7240158137222519,2055683,1488347,1488347
10%,0.2782602544857235,2035792,566480,567336,0.7240158137222519,2055683,1488347,1488347
15%,0.2873999690735665,1927154,553864,567336,0.7240158137222519,2055683,1488347,1488347
20%,0.304569368105764,1631254,496830,567336,0.7240158137222519,2055683,1488347,1488347
25%,0.32701799036645435,1196029,391123,567336,0.7240158137222519,2055683,1488347,1488347
30%,0.35973536972629666,661300,237893,567336,0.7240158137222519,2055683,1488347,1488347
35%,0.40253571809767774,262332,105598,567336,0.7240158137222519,2055683,1488347,1488347
40%,0.4400851618937445,81257,35760,567336,0.7240158137222519,2055683,1488347,1488347
45%,0.47944586658635746,19923,9552,567336,0.7240238780818726,2055609,1488310,1488347
50%,0.5274077868852459,3904,2059,567336,0.7244942072221229,2051779,1486502,1488347
55%,0.5,74,37,567336,0.7260069949306401,2035760,1477976,1488347
60%,,0,0,567336,0.7307693476483799,1974426,1442850,1488347
65%,,0,0,567336,0.7425278152464297,1793351,1331613,1488347
70%,,0,0,567336,0.7637356450846001,1394383,1064940,1488347
75%,,0,0,567336,0.7950186935674121,859654,683441,1488347
80%,,0,0,567336,0.8338803427663991,424429,353923,1488347
85%,,0,0,567336,0.8951831882298936,128529,115057,1488347
90%,,0,0,567336,0.9569654617666281,19891,19035,1488347
95%,,0,0,567336,1.0,78,78,1488347
96%,,0,0,567336,1.0,2,2,1488347
97%,,0,0,567336,,0,0,1488347
98%,,0,0,567336,,0,0,1488347
99%,,0,0,567336,,0,0,1488347
