treshold,UP_ratio,UP_pp_cnt,UP_pp_OK,UP_real_cnt,ST_ratio,ST_pp_cnt,ST_pp_OK,ST_real_cnt
5%,0.5678722404884923,323608,183768,183768,0.43245917862444333,323360,139840,139840
10%,0.5679626807304338,323479,183724,183768,0.43582208745890033,320562,139708,139840
15%,0.5689761567348154,322481,183484,183768,0.4437840847991397,312456,138663,139840
20%,0.5713425930279578,319017,182268,183768,0.45282641053537936,299638,135684,139840
25%,0.5763926238955052,312360,180042,183768,0.4645316597778397,283309,131606,139840
30%,0.5847733758046321,301380,176239,183768,0.4786503616605402,261433,125135,139840
35%,0.5983510803998754,282488,169027,183768,0.4947239846639297,235784,116648,139840
40%,0.6170974768058252,252973,156109,183768,0.5148617113013315,205259,105680,139840
45%,0.6426173877761794,216888,139376,183768,0.5379944472983971,173249,93207,139840
50%,0.6672373771463378,182229,121590,183768,0.5602034248367862,141379,79201,139840
55%,0.6898556122347183,150359,103726,183768,0.5840329835082458,106720,62328,139840
60%,0.7113621576861655,118349,84189,183768,0.6084235860409145,70635,42976,139840
65%,0.7359263982510476,87824,64632,183768,0.6415126459143969,41120,26379,139840
70%,0.7634901487736229,62175,47470,183768,0.6612830664027353,22228,14699,139840
75%,0.7956773120921115,40299,32065,183768,0.6687411095305832,11248,7522,139840
80%,0.8266166040884438,23970,19814,183768,0.673273796558484,4591,3091,139840
85%,0.8944583931133429,11152,9975,183768,0.7480035492457853,1127,843,139840
90%,0.9566644780039396,3046,2914,183768,0.6589147286821705,129,85,139840
95%,1.0,248,248,183768,,0,0,139840
96%,1.0,70,70,183768,,0,0,139840
97%,1.0,1,1,183768,,0,0,139840
98%,,0,0,183768,,0,0,139840
99%,,0,0,183768,,0,0,139840
